# messageDelay  cumulativeProbability
0.0100 0.5403
0.0100 0.5412
0.0100 0.5422
0.0100 0.5432
0.0100 0.5441
0.0100 0.5451
0.0100 0.5461
0.0100 0.5470
0.0100 0.5480
0.0100 0.5490
0.0100 0.5500
0.0100 0.5509
0.0100 0.5519
0.0100 0.5529
0.0100 0.5538
0.0100 0.5548
0.0100 0.5558
0.0100 0.5567
0.0100 0.5577
0.0100 0.5587
0.0100 0.5597
0.0100 0.5606
0.0100 0.5616
0.0100 0.5626
0.0100 0.5635
0.0100 0.5645
0.0100 0.5655
0.0100 0.5664
0.0100 0.5674
0.0100 0.5684
0.0100 0.5694
0.0100 0.5703
0.0100 0.5713
0.0100 0.5723
0.0100 0.5732
0.0100 0.5742
0.0100 0.5752
0.0100 0.5761
0.0100 0.5771
0.0100 0.5781
0.0100 0.5790
0.0100 0.5800
0.0100 0.5810
0.0100 0.5820
0.0100 0.5829
0.0100 0.5839
0.0100 0.5849
0.0100 0.5858
0.0100 0.5868
0.0100 0.5878
0.0100 0.5887
0.0100 0.5897
0.0100 0.5907
0.0100 0.5917
0.0100 0.5926
0.0100 0.5936
0.0100 0.5946
0.0100 0.5955
0.0100 0.5965
0.0100 0.5975
0.0100 0.5984
0.0100 0.5994
0.0100 0.6004
0.0100 0.6014
0.0100 0.6023
0.0100 0.6033
0.0100 0.6043
0.0100 0.6052
0.0100 0.6062
0.0100 0.6072
0.0100 0.6081
0.0100 0.6091
0.0100 0.6101
0.0100 0.6111
0.0100 0.6120
0.0100 0.6130
0.0100 0.6140
0.0100 0.6149
0.0100 0.6159
0.0100 0.6169
0.0100 0.6178
0.0100 0.6188
0.0100 0.6198
0.0100 0.6208
0.0100 0.6217
0.0100 0.6227
0.0100 0.6237
0.0100 0.6246
0.0100 0.6256
0.0100 0.6266
0.0100 0.6275
0.0100 0.6285
0.0100 0.6295
0.0100 0.6305
0.0100 0.6314
0.0100 0.6324
0.0100 0.6334
0.0100 0.6343
0.0100 0.6353
0.0100 0.6363
0.0100 0.6372
0.0100 0.6382
0.0100 0.6392
0.0100 0.6402
0.0100 0.6411
0.0100 0.6421
0.0100 0.6431
0.0100 0.6440
0.0100 0.6450
0.0100 0.6460
0.0100 0.6469
0.0100 0.6479
0.0100 0.6489
0.0100 0.6499
0.0100 0.6508
0.0100 0.6518
0.0100 0.6528
0.0100 0.6537
0.0100 0.6547
0.0100 0.6557
0.0100 0.6566
0.0100 0.6576
0.0100 0.6586
0.0100 0.6596
0.0100 0.6605
0.0100 0.6615
0.0100 0.6625
0.0100 0.6634
0.0100 0.6644
0.0100 0.6654
0.0100 0.6663
0.0100 0.6673
0.0100 0.6683
0.0100 0.6693
0.0100 0.6702
0.0100 0.6712
0.0100 0.6722
0.0100 0.6731
0.0100 0.6741
0.0100 0.6751
0.0100 0.6760
0.0100 0.6770
0.0100 0.6780
0.0100 0.6790
0.0100 0.6799
0.0100 0.6809
0.0100 0.6819
0.0100 0.6828
0.0100 0.6838
0.0100 0.6848
0.0100 0.6857
0.0100 0.6867
0.0100 0.6877
0.0100 0.6887
0.0100 0.6896
0.0100 0.6906
0.0100 0.6916
0.0100 0.6925
0.0100 0.6935
0.0100 0.6945
0.0100 0.6954
0.0100 0.6964
0.0100 0.6974
0.0100 0.6984
0.0100 0.6993
0.0100 0.7003
0.0100 0.7013
0.0100 0.7022
0.0100 0.7032
0.0100 0.7042
0.0100 0.7051
0.0100 0.7061
0.0100 0.7071
0.0100 0.7081
0.0100 0.7090
0.0100 0.7100
0.0100 0.7110
0.0100 0.7119
0.0100 0.7129
0.0100 0.7139
0.0100 0.7148
0.0100 0.7158
0.0100 0.7168
0.0100 0.7177
0.0100 0.7187
0.0100 0.7197
0.0100 0.7207
0.0100 0.7216
0.0100 0.7226
0.0100 0.7236
0.0100 0.7245
0.0100 0.7255
0.0100 0.7265
0.0100 0.7274
0.0100 0.7284
0.0100 0.7294
0.0100 0.7304
0.0100 0.7313
0.0100 0.7323
0.0100 0.7333
0.0100 0.7342
0.0100 0.7352
0.0100 0.7362
0.0100 0.7371
0.0100 0.7381
0.0100 0.7391
0.0100 0.7401
0.0100 0.7410
0.0100 0.7420
0.0100 0.7430
0.0100 0.7439
0.0100 0.7449
0.0100 0.7459
0.0100 0.7468
0.0100 0.7478
0.0100 0.7488
0.0100 0.7498
0.0100 0.7507
0.0100 0.7517
0.0100 0.7527
0.0100 0.7536
0.0100 0.7546
0.0100 0.7556
0.0100 0.7565
0.0100 0.7575
0.0100 0.7585
0.0100 0.7595
0.0100 0.7604
0.0100 0.7614
0.0100 0.7624
0.0100 0.7633
0.0100 0.7643
0.0100 0.7653
0.0100 0.7662
0.0100 0.7672
0.0100 0.7682
0.0100 0.7692
0.0100 0.7701
0.0100 0.7711
0.0100 0.7721
0.0100 0.7730
0.0100 0.7740
0.0100 0.7750
0.0100 0.7759
0.0100 0.7769
0.0100 0.7779
0.0100 0.7789
0.0100 0.7798
0.0100 0.7808
0.0100 0.7818
0.0100 0.7827
0.0100 0.7837
0.0100 0.7847
0.0100 0.7856
0.0100 0.7866
0.0100 0.7876
0.0100 0.7886
0.0100 0.7895
0.0100 0.7905
0.0100 0.7915
0.0100 0.7924
0.0100 0.7934
0.0100 0.7944
0.0100 0.7953
0.0100 0.7963
0.0100 0.7973
0.0100 0.7983
0.0100 0.7992
0.0100 0.8002
0.0100 0.8012
0.0100 0.8021
0.0100 0.8031
0.0100 0.8041
0.0100 0.8050
0.0100 0.8060
0.0100 0.8070
0.0100 0.8080
0.0100 0.8089
0.0100 0.8099
0.0100 0.8109
0.0100 0.8118
0.0100 0.8128
0.0100 0.8138
0.0100 0.8147
0.0100 0.8157
0.0100 0.8167
0.0100 0.8177
0.0100 0.8186
0.0100 0.8196
0.0100 0.8206
0.0100 0.8215
0.0100 0.8225
0.0100 0.8235
0.0100 0.8244
0.0100 0.8254
0.0100 0.8264
0.0100 0.8274
0.0100 0.8283
0.0100 0.8293
0.0100 0.8303
0.0100 0.8312
0.0100 0.8322
0.0100 0.8332
0.0100 0.8341
0.0100 0.8351
0.0100 0.8361
0.0100 0.8371
0.0100 0.8380
0.0100 0.8390
0.0100 0.8400
0.0100 0.8409
0.0100 0.8419
0.0100 0.8429
0.0100 0.8438
0.0100 0.8448
0.0100 0.8458
0.0100 0.8468
0.0100 0.8477
0.0100 0.8487
0.0100 0.8497
0.0100 0.8506
0.0100 0.8516
0.0100 0.8526
0.0100 0.8535
0.0100 0.8545
0.0100 0.8555
0.0100 0.8565
0.0100 0.8574
0.0100 0.8584
0.0100 0.8594
0.0100 0.8603
0.0100 0.8613
0.0100 0.8623
0.0100 0.8632
0.0100 0.8642
0.0100 0.8652
0.0100 0.8661
0.0100 0.8671
0.0100 0.8681
0.0100 0.8691
0.0100 0.8700
0.0100 0.8710
0.0100 0.8720
0.0100 0.8729
0.0100 0.8739
0.0100 0.8749
0.0100 0.8758
0.0100 0.8768
0.0100 0.8778
0.0100 0.8788
0.0100 0.8797
0.0100 0.8807
0.0100 0.8817
0.0100 0.8826
0.0100 0.8836
0.0100 0.8846
0.0100 0.8855
0.0100 0.8865
0.0100 0.8875
0.0100 0.8885
0.0100 0.8894
0.0100 0.8904
0.0100 0.8914
0.0100 0.8923
0.0100 0.8933
0.0100 0.8943
0.0100 0.8952
0.0100 0.8962
0.0100 0.8972
0.0100 0.8982
0.0100 0.8991
0.0100 0.9001
0.0100 0.9011
0.0100 0.9020
0.0100 0.9030
0.0100 0.9040
0.0100 0.9049
0.0100 0.9059
0.0100 0.9069
0.0100 0.9079
0.0100 0.9088
0.0100 0.9098
0.0100 0.9108
0.0100 0.9117
0.0100 0.9127
0.0100 0.9137
